loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9559,3.4764037132263184,1.3333333333333334e-06,0.02,25,,,,,,,,,,,,,
1.8737,4.218197345733643,2.666666666666667e-06,0.04,50,,,,,,,,,,,,,
1.739,2.8046445846557617,4.000000000000001e-06,0.06,75,,,,,,,,,,,,,
1.5776,2.4894158840179443,5.333333333333334e-06,0.08,100,,,,,,,,,,,,,
1.3541,3.056391716003418,6.666666666666667e-06,0.1,125,,,,,,,,,,,,,
1.265,2.4506986141204834,8.000000000000001e-06,0.12,150,,,,,,,,,,,,,
1.0163,3.9720606803894043,9.333333333333334e-06,0.14,175,,,,,,,,,,,,,
0.84,6.390853404998779,1.0666666666666667e-05,0.16,200,,,,,,,,,,,,,
0.7425,4.539951801300049,1.2e-05,0.18,225,,,,,,,,,,,,,
0.6719,5.999876499176025,1.3333333333333333e-05,0.2,250,,,,,,,,,,,,,
0.5903,4.497520923614502,1.4666666666666666e-05,0.22,275,,,,,,,,,,,,,
0.5256,6.391961574554443,1.6000000000000003e-05,0.24,300,,,,,,,,,,,,,
0.5118,4.872993469238281,1.7333333333333336e-05,0.26,325,,,,,,,,,,,,,
0.5437,7.4365386962890625,1.866666666666667e-05,0.28,350,,,,,,,,,,,,,
0.467,7.00402307510376,1.9946666666666667e-05,0.3,375,,,,,,,,,,,,,
0.4732,6.9698333740234375,1.985777777777778e-05,0.32,400,,,,,,,,,,,,,
0.4123,2.795165538787842,1.9709629629629633e-05,0.34,425,,,,,,,,,,,,,
0.4293,6.662646770477295,1.9561481481481483e-05,0.36,450,,,,,,,,,,,,,
0.401,10.899444580078125,1.9413333333333336e-05,0.38,475,,,,,,,,,,,,,
0.386,7.6587419509887695,1.9271111111111115e-05,0.4,500,,,,,,,,,,,,,
0.478,7.408904552459717,1.9122962962962964e-05,0.42,525,,,,,,,,,,,,,
0.3879,3.3935799598693848,1.8974814814814817e-05,0.44,550,,,,,,,,,,,,,
0.3661,4.347354412078857,1.8826666666666667e-05,0.46,575,,,,,,,,,,,,,
0.3842,2.9540634155273438,1.867851851851852e-05,0.48,600,,,,,,,,,,,,,
